seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
1192,1,1,1,132,0,1120,0,1,5.0,1,2.0,73.0,0.0,,,,,1,1,1,4.5,4.5,0,3321,2780,3321,2780,520.0,132.0,0.0,3.35,1.0,1,8,2,1,0,9.0,14.0,2,360,,165.0,2,0,0,N,0,0,1.0,48.837,3.1,0,0,0,1,0,12.0,195.2137,0,0
1193,1,1,1,131,0,1120,1,1,5.0,1,2.0,66.0,0.0,,,,,1,1,0,13.0,13.0,0,3727,1725,3727,1775,1493.0,131.0,13.0,17.0,1.0,1,6,2,1,0,27.0,34.0,2,360,,165.0,2,0,0,N,0,0,1.0,32.22,3.9,0,0,1,0,0,14.0,366.4688,0,0
1195,1,1,1,110,0,1120,1,1,5.0,1,2.0,63.0,0.0,,,,,1,1,2,21.0,999999.4,0,3128,2087,3128,2087,615.87,110.0,0.0,999999.4,1.0,1,10,1,1,0,27.0,34.0,2,300,,200.0,2,0,0,N,0,0,1.0,234.93,3.9,0,0,1,1,0,12.0,265.0764,0,0
1196,1,1,1,120,0,1120,1,0,2.0,1,2.0,73.0,0.0,,,,,1,1,1,8.0,8.0,0,3499,2000,3917,2167,1489.0,120.0,0.0,7.5,1.0,1,1,1,1,0,12.0,32.0,2,240,,150.0,2,0,0,N,0,0,1.0,264.1611,3.9,0,0,0,1,0,12.0,373.3145,0,0
1197,1,1,1,27,0,1120,0,1,5.0,1,2.0,71.0,0.0,,,,,1,1,0,35.0,25.0,0,3813,2004,4601,2004,540.99,25.0,0.0,90.5,1.0,1,6,1,1,0,8.0,19.0,2,120,,175.0,2,0,0,N,0,0,1.0,869.58,10.6,0,0,1,1,0,14.0,249.4382,0,0
1198,1,1,1,70,0,1120,0,1,5.0,1,2.0,60.0,0.0,,,,,1,1,1,35.0,10.0,0,3321,2088,3321,2088,621.29,70.0,0.0,0.4,1.0,1,7,1,2,0,11.0,32.0,2,240,,145.0,2,0,0,N,0,0,1.0,299.474,3.2,0,1,0,1,0,12.0,273.3417,0,0
1199,1,1,1,100,0,1120,0,1,8.0,1,4.0,44.0,0.0,,,,,1,0,1,17.0,5.0,0,3566,0,3596,0,2548.14,100.0,0.0,20.0,1.0,1,4,1,1,0,71.0,73.0,2,240,,165.0,2,0,0,N,0,0,1.0,23.15909,3.9,0,1,1,1,1,12.0,257.2614,0,0
1200,1,1,1,100,0,1120,1,0,3.0,1,2.0,120.0,0.0,,,,,1,1,1,17.0,17.0,0,2756,1200,3781,1200,2575.0,100.0,0.0,100.0,1.0,1,4,1,1,0,52.0,58.0,2,300,,125.0,2,0,0,N,0,0,1.0,306.676,3.9,0,1,0,1,1,12.0,478.9511,0,0
1201,1,1,1,113,0,1120,0,1,8.0,1,4.0,44.0,0.0,,,,,1,0,1,17.0,17.0,0,3667,0,3667,0,1100.0,113.0,0.0,235.0,1.0,1,6,2,1,0,30.0,30.0,2,180,,142.0,2,0,0,N,0,0,1.0,240.0,3.9,0,0,1,1,0,14.0,268.7346,0,0
1202,1,1,1,115,0,1120,0,1,5.0,1,2.0,54.0,0.0,,,,,1,1,0,11.0,3.0,0,2610,1892,2610,1892,400.0,115.0,0.0,999999.4,1.0,1,4,2,1,0,9.0,14.0,2,360,,132.2,2,0,0,N,0,0,1.0,46.81342,3.6,0,0,1,0,0,12.0,219.2021,0,0
1205,1,1,1,25,0,1120,0,1,5.0,1,2.0,41.0,0.0,,,,,1,1,0,34.0,20.0,1,3459,0,3459,0,539.0,25.0,12.138,47.521,1.0,1,6,1,1,0,16.0,26.0,2,120,,185.0,2,0,0,N,0,0,1.0,304.429,3.6,0,1,1,1,0,13.0,264.7306,0,0
1206,1,1,1,49,0,1120,0,1,5.0,1,2.0,45.0,0.0,,,,,1,1,0,10.0,3.0,0,3200,550,3200,550,1255.0,49.0,0.0,18.25,1.0,1,4,1,2,0,33.0,43.0,2,240,,140.0,2,0,0,N,0,0,1.0,23.55,3.9,0,1,1,0,1,12.0,276.1918,0,0
1212,1,1,1,25,0,1120,1,1,5.0,1,2.0,48.0,0.0,,,,,1,1,0,33.0,999999.4,0,4030,0,4030,0,720.0,25.0,0.0,6.5,1.0,1,4,1,1,0,18.0,47.0,2,120,,25.0,2,0,0,N,0,0,1.0,108.25,10.6,1,1,0,1,1,12.0,439.8792,0,0
1213,1,1,1,120,0,1120,0,0,3.0,1,2.0,75.0,0.0,,,,,1,1,1,11.0,11.0,0,2960,2960,3304,2960,788.0,120.0,0.0,252.5,1.0,1,5,1,2,0,13.0,25.0,2,360,,150.0,2,0,0,N,0,0,1.0,434.4,3.9,0,1,1,1,0,12.0,236.4887,0,0
1214,1,1,1,125,0,1120,0,1,5.0,1,2.0,45.0,0.0,,,,,1,1,0,30.0,999999.4,0,2940,800,2940,800,1130.0,125.0,69.0,11.4,1.0,1,6,1,1,0,30.0,30.0,2,360,,160.0,2,0,0,N,0,0,1.0,306.9,3.9,0,0,1,1,0,12.0,246.1657,0,0
1215,1,1,1,80,0,1120,0,1,7.0,1,2.0,35.0,0.0,,,,,1,1,0,999999.4,999999.4,0,0,333,2620,333,765.0,80.0,0.0,58.056,1.0,1,7,2,6,0,25.0,27.0,2,360,,115.0,2,0,0,N,0,0,1.0,77.104,3.6,0,0,1,1,1,12.0,227.6496,0,0
1218,1,1,1,70,0,1120,1,1,5.0,1,2.0,47.0,0.0,,,,,1,1,2,5.0,5.0,0,3200,700,3200,700,793.7,70.0,16.468,11.5,1.0,1,5,1,1,0,20.0,36.0,2,360,,180.0,2,0,0,N,0,0,1.0,229.5872,3.9,0,1,1,1,1,16.0,319.8996,0,0
1222,1,1,1,175,0,1120,0,1,5.0,1,2.0,187.0,0.0,,,,,1,1,0,20.0,7.0,0,7333,8333,7333,8333,2427.0,738.0,0.0,878.0,1.0,1,23,4,2,0,15.5,24.9,1,300,,740.0,2,0,0,N,0,0,1.0,1227.0,1.8,0,0,1,1,1,18.0,306.8191,0,0
1223,1,1,1,700,0,1120,0,1,5.0,1,2.0,621.0,0.0,,,,,1,1,3,23.0,15.0,0,51763,0,51763,0,6916.0,1345.0,0.0,814.0,2.0,1,25,1,3,0,13.3,21.6,1,300,,1350.0,2,0,0,N,0,0,1.0,14488.0,3.1,0,0,1,1,0,18.0,278.0483,0,0
1225,1,1,1,700,1,1120,0,1,8.0,1,4.0,113.0,0.0,,1.0,,,1,1,2,10.0,3.5,0,6250,0,9454,0,6696.0,930.0,0.0,6979.0,1.0,0,15,2,1,0,74.0,116.0,1,300,,930.0,2,0,0,,0,0,1.0,7201.0,4.3,0,1,1,1,0,15.0,258.6242,0,0
1227,1,1,1,600,0,1120,0,1,5.0,1,2.0,372.0,0.0,,,,,1,1,2,8.0,8.0,1,8090,22916,8090,22916,6755.0,1010.0,0.0,163.0,3.0,1,20,1,3,0,22.0,36.0,1,300,,975.0,2,0,0,N,0,0,1.0,454.0,3.2,0,1,1,1,1,23.0,221.8766,0,0
1228,1,1,1,490,0,1120,0,1,5.0,1,2.0,796.0,0.0,,,,,1,1,0,10.0,10.0,0,0,0,63337,0,10798.0,1535.0,0.0,1600.0,2.0,1,20,2,5,0,16.2,27.8,1,180,,1225.0,2,0,0,N,0,0,1.0,6516.0,1.8,0,0,1,1,0,18.0,275.814,0,0
1231,1,1,1,108,0,1120,0,1,5.0,1,2.0,62.0,0.0,,,,,1,1,0,4.0,1.0,0,1300,1950,3232,1950,1212.0,135.0,0.0,28.0,2.0,1,9,2,2,0,23.0,32.0,1,360,,145.0,2,0,0,N,0,0,2.0,28.0,4.3,0,0,1,0,0,14.0,249.4382,0,0
1253,1,1,1,86,0,1120,0,1,5.0,1,2.0,51.0,0.0,,,,,1,1,0,2.0,2.0,0,2121,2167,2121,2167,884.0,115.0,0.0,31.0,2.0,1,2,2,2,0,20.6,28.8,1,360,,115.0,2,0,0,N,0,0,3.0,21.737,3.2,0,0,1,0,1,12.0,251.6791,0,0
1255,1,1,1,168,0,1120,0,1,5.0,1,2.0,22.0,0.0,,,,,1,1,1,5.0,5.0,1,1830,0,1830,0,1676.0,224.0,0.0,10.0,2.0,1,0,1,2,0,34.1,48.3,1,360,,225.0,2,0,0,N,1,0,3.0,82.0,4.3,0,0,1,0,0,12.0,237.8,0,0
1256,1,1,1,120,0,1120,0,1,5.0,1,2.0,60.0,0.0,,,,,1,1,2,6.0,6.0,0,4010,1025,4010,1025,1142.0,190.0,0.0,22.0,2.0,1,4,2,2,0,22.7,31.2,1,360,,190.0,2,0,0,N,0,0,3.0,120.0,10.6,0,0,1,0,0,14.0,256.6146,0,0
1257,1,1,1,135,0,1120,0,1,8.0,1,4.0,39.0,0.0,,,,,1,0,0,6.0,6.0,0,3233,0,3233,0,1429.0,235.0,0.0,126.0,2.0,1,3,1,1,0,22.2,29.7,1,360,,235.0,2,0,0,N,1,0,3.0,487.0,3.2,0,0,1,0,0,16.0,224.7775,0,0
1261,1,1,1,154,0,1120,0,1,8.0,0,4.0,52.0,0.0,,,,,1,0,0,17.0,17.0,0,455,0,4350,0,1535.0,220.0,0.0,403.0,2.0,1,0,2,1,0,34.4,34.4,1,360,,220.0,2,0,0,N,0,0,3.0,413.0,3.2,0,0,1,1,0,12.0,246.2572,0,0
1262,1,1,1,75,0,1120,0,1,5.0,1,2.0,43.0,1.0,,,,,1,1,3,12.0,1.0,0,3365,245,3365,245,899.0,100.0,0.0,39.0,2.0,1,2,2,2,0,26.2,36.2,2,360,,153.0,2,0,0,N,0,0,3.0,54.0,3.1,1,1,1,0,0,12.0,282.9622,0,0
1264,1,1,1,240,0,1120,0,1,5.0,1,2.0,95.0,0.0,,,,,1,1,0,3.0,3.0,0,3333,3333,4600,3333,2280.0,294.0,0.0,37.0,2.0,1,0,2,2,0,28.5,28.5,1,360,,409.0,2,0,0,N,0,0,3.0,254.0,4.3,0,0,1,0,0,14.0,256.6146,0,0
1265,1,1,1,210,0,1120,0,1,5.0,1,2.0,95.0,0.0,,,,,1,1,2,10.0,10.0,0,6250,1695,6250,1695,2104.0,280.0,0.0,13.0,2.0,1,1,1,2,0,26.4,32.3,1,360,,280.0,2,0,0,N,0,0,3.0,114.0,3.2,0,0,1,0,0,16.0,223.234,0,0
1268,1,1,1,187,0,1120,0,1,5.0,1,2.0,177.0,0.0,,,,,1,1,0,2.0,2.0,1,13000,1733,13000,1733,1927.0,234.0,0.0,48.0,2.0,1,3,1,1,0,17.9,40.4,1,360,,234.0,2,0,0,Y,0,0,3.0,43.0,3.2,0,0,1,0,0,20.0,239.1944,0,0
1269,1,1,1,95,0,1120,0,0,3.0,1,2.0,54.0,0.0,,,,,1,1,0,4.0,4.0,0,2253,1459,3033,1459,964.0,106.0,0.0,10.0,2.0,1,6,2,1,0,21.5,31.6,1,360,,106.0,2,1,0,Y,1,0,3.0,3.0,3.1,0,0,1,0,1,16.0,206.3017,0,0
1271,1,1,1,120,0,1120,0,1,5.0,1,2.0,46.0,0.0,,,,,1,0,0,1.0,1.0,0,2340,1500,2340,1500,1241.0,160.0,0.0,47.0,2.0,1,0,2,4,0,28.8,28.8,2,360,,162.0,2,0,0,N,1,0,3.0,89.0,3.2,0,1,1,0,0,17.0,250.5469,0,0
1273,1,1,1,110,0,1120,0,1,5.0,1,2.0,41.0,0.0,,,,,1,1,3,4.0,4.0,0,2264,1140,2264,1140,1166.0,160.0,0.0,10.0,2.0,1,1,2,1,0,31.6,35.8,1,360,,160.0,2,0,0,N,0,0,3.0,7.0,3.2,0,1,1,0,0,14.0,224.3828,0,0
1274,1,1,1,185,0,1120,0,1,5.0,1,2.0,58.0,1.0,,,,,1,1,1,8.0,8.0,0,4195,0,4795,0,1380.0,252.0,0.0,83.0,2.0,1,12,1,1,0,29.0,29.0,1,360,BLD PROG,250.0,2,0,0,Y,0,0,3.0,-226.0,3.9,0,1,1,0,1,15.0,249.0143,0,0
1275,1,1,1,100,0,1120,0,1,5.0,1,2.0,36.0,9.0,,,,,1,1,2,9.0,9.0,0,2102,0,2980,0,934.0,105.0,0.0,12.0,2.0,1,7,2,2,0,31.0,35.0,2,360,MHFA,111.0,2,1,0,Y,0,0,3.0,11.0,3.9,0,1,1,0,0,16.0,260.8025,0,0
1276,1,1,1,128,0,1120,0,1,5.0,1,2.0,68.0,0.0,,,,,1,1,0,12.0,12.0,0,5708,0,5708,0,1315.0,160.0,0.0,120.0,2.0,1,32,1,2,1,23.0,34.0,2,360,,165.0,2,0,0,N,0,0,3.0,169.0,3.9,0,0,1,1,0,16.0,242.7055,0,0
1277,1,1,1,123,0,1120,0,1,5.0,1,2.0,51.0,1.0,,,,,1,1,3,6.0,4.0,0,2917,623,3590,623,1260.0,154.0,0.0,33.0,2.0,1,18,2,1,0,30.0,36.0,1,360,,165.0,2,0,0,N,0,0,3.0,36.0,3.1,0,1,1,0,1,12.0,238.4564,0,0
1278,1,1,1,119,1,1120,0,1,5.0,1,2.0,69.0,0.0,,3.0,,,1,1,0,4.0,4.0,0,2800,2157,3597,2157,1249.0,164.0,0.0,11.0,2.0,0,8,2,6,1,22.0,27.0,2,360,,164.0,2,0,0,Y,0,0,2.0,129.0,10.6,0,0,0,0,0,14.0,258.683,0,0
1281,1,1,1,182,1,1120,0,0,3.0,1,2.0,71.0,0.0,,1.0,3.0,,1,1,0,7.0,7.0,0,3612,507,5416,507,1728.0,205.0,10.0,10.0,2.0,0,22,2,6,1,29.0,45.0,1,360,BLD PROG,205.0,2,0,0,N,0,0,2.0,3.0,2.0,0,0,1,0,1,12.0,245.8152,0,0
1282,1,1,1,221,0,1120,0,1,5.0,0,1.0,103.0,0.0,,,,,1,1,3,14.0,14.0,0,5688,2916,5688,2916,1852.0,260.0,0.0,85.0,2.0,1,21,4,6,0,22.0,32.0,1,360,BLD PROG,260.0,2,0,0,N,0,0,2.0,80.0,1.8,0,1,1,1,0,14.0,245.5741,0,0
1283,1,1,1,77,0,1120,0,1,8.0,1,4.0,29.0,0.0,,,,,1,0,0,2.5,2.5,0,2149,0,2389,0,735.0,85.0,0.0,22.0,2.0,1,3,2,1,0,31.0,33.0,2,360,MHFA,98.0,2,1,0,N,0,0,3.0,45.0,3.1,0,1,1,1,1,12.0,314.5037,0,0
1288,1,1,1,132,0,1120,0,1,5.0,0,1.0,60.0,0.0,,,,,1,1,0,2.5,0.25,0,1993,2770,1993,2973,1467.0,165.0,28.0,3.0,2.0,0,18,2,6,1,30.0,46.0,1,360,BLD PROG,155.0,1,0,0,Y,0,0,4.0,22.0,3.2,0,1,1,0,1,16.0,257.2614,0,0
1289,1,1,1,73,0,1120,0,1,8.0,0,4.0,30.0,0.0,,,,,1,0,1,4.0,4.0,0,2224,0,2527,0,889.0,91.0,0.0,47.0,2.0,1,4,2,1,0,35.0,35.0,1,360,,91.0,1,0,0,N,0,0,2.0,54.0,1.8,0,0,1,0,0,12.0,244.2482,0,0
1290,1,1,1,120,0,1120,0,1,5.0,1,2.0,52.0,0.0,,,,,1,0,0,5.0,5.0,0,2166,2184,2166,2184,1329.0,150.0,5.0,26.0,2.0,1,12,2,6,0,31.0,35.0,2,360,,155.0,2,0,0,Y,0,0,3.0,9.0,3.2,0,1,1,0,1,14.0,249.0143,0,0
1292,1,1,1,88,0,1120,0,1,5.0,1,2.0,40.0,0.0,,,,,1,1,0,2.5,2.5,1,1900,1442,1900,1442,934.0,110.0,0.0,24.0,2.0,1,16,2,1,0,28.0,39.0,1,360,,126.0,1,0,0,Y,0,0,3.0,27.0,4.3,0,0,1,0,1,14.0,244.4367,0,0
1293,1,1,1,80,0,1120,1,1,8.0,1,4.0,29.0,9.0,,,,,1,1,2,4.0,1.5,0,2414,0,2414,0,743.0,120.0,0.0,15.0,2.0,1,11,2,2,0,31.0,46.0,2,300,MHFA,130.0,2,0,0,Y,0,0,3.0,38.0,3.9,0,0,1,0,1,12.0,260.9567,0,0
1294,1,1,1,68,0,1120,0,1,8.0,0,4.0,34.0,0.0,,,,,1,1,0,5.0,5.0,0,2795,0,2795,0,728.0,86.0,0.0,41.0,2.0,1,17,2,1,0,26.0,38.0,2,360,,86.0,2,0,0,N,0,0,3.0,89.0,1.8,0,0,1,1,0,12.0,260.0694,0,0
1295,1,1,1,104,0,1120,0,1,5.0,1,2.0,42.0,0.0,,,,,1,1,4,4.0,4.0,0,2584,910,2584,910,933.0,130.0,0.0,47.0,2.0,1,2,2,2,0,27.0,27.0,2,360,MHFA,130.0,2,1,0,Y,0,0,3.0,102.0,3.9,0,0,1,0,0,12.0,219.6162,0,0
1297,1,1,1,264,0,1120,0,1,5.0,1,2.0,92.0,0.0,,,,,1,1,1,8.0,8.0,0,7291,0,7624,0,2367.0,330.0,0.0,166.0,2.0,1,15,1,2,0,31.0,38.0,1,360,BLD PROG,335.0,2,0,0,N,0,0,3.0,212.0,1.8,0,0,1,0,0,16.0,229.6941,0,0
1298,1,1,1,70,0,1120,1,1,5.0,1,2.0,47.0,0.0,,,,,1,1,4,20.0,20.0,0,3173,683,3173,683,809.0,150.0,0.0,27.0,2.0,1,7,1,1,0,21.0,22.0,1,360,BLD PROG,155.0,2,0,0,N,0,0,2.0,166.0,2.0,0,0,1,1,0,16.0,366.4688,0,0
1299,1,1,1,131,0,1120,0,1,8.0,1,4.0,68.0,0.0,,,,,1,0,1,17.0,10.0,0,5667,0,5667,0,1666.0,145.0,0.0,38.0,2.0,1,8,2,2,0,29.0,38.0,2,360,,155.0,1,0,0,N,0,0,2.0,47.0,3.2,0,0,1,1,1,17.0,512.2753,0,0
1300,1,1,1,130,0,1120,0,1,5.0,1,2.0,63.0,0.0,,,,,1,1,0,5.0,5.0,0,3416,1500,3773,1500,1464.0,200.0,0.0,72.0,2.0,1,16,2,1,0,28.0,37.0,2,360,,190.0,2,0,0,N,0,0,3.0,177.0,3.1,0,0,1,0,1,16.0,179.4484,0,0
1301,1,1,1,111,0,1120,0,1,5.0,1,2.0,38.0,9.0,,,,,1,1,1,4.0,4.0,0,2862,286,2862,286,1015.0,117.0,0.0,9.0,2.0,1,4,2,1,0,32.0,37.0,2,360,MHFA,130.0,2,1,0,Y,0,0,3.0,18.0,3.9,0,1,0,0,0,12.0,281.213,0,0
1302,1,1,1,285,0,1120,0,1,5.0,1,2.0,115.0,0.0,,,,,1,1,1,4.0,3.0,0,5750,0,9617,0,2578.0,375.0,0.0,95.0,1.0,1,0,1,2,0,28.0,28.0,1,360,,375.0,2,0,0,N,0,0,1.0,218.0,1.8,0,0,1,0,1,18.0,244.4367,0,0
1303,1,1,1,135,0,1120,0,1,5.0,1,2.0,94.0,1.0,,,,,1,0,0,10.0,9.0,0,4250,2500,4250,2500,1373.0,195.0,0.0,97.0,1.0,1,2,2,1,0,21.0,25.0,2,360,,195.0,2,0,0,N,0,0,1.0,142.0,3.1,0,1,1,0,0,12.0,191.3909,0,0
1304,1,1,1,50,0,1120,0,1,5.0,1,2.0,36.0,3.0,,,,,1,1,0,3.0,3.0,0,1763,997,1977,997,629.0,230.0,0.0,31.0,1.0,1,2,1,1,0,23.0,26.0,2,360,,240.0,2,0,0,N,0,0,1.0,638.0,3.2,0,0,1,1,0,14.0,253.645,0,0
1305,1,1,1,150,0,1120,0,1,5.0,1,2.0,83.0,1.0,,,,,1,1,3,3.0,3.0,0,3466,3428,3466,3428,1541.0,158.0,0.0,17.0,1.0,1,4,2,1,0,22.0,27.0,2,360,,160.0,2,1,0,N,0,0,1.0,37.0,4.3,0,1,1,0,0,13.0,220.3227,0,0
1306,1,1,1,93,0,1120,0,1,8.0,0,4.0,44.0,1.0,,,,,1,0,0,37.0,36.0,0,3292,0,3692,0,1158.0,125.0,0.0,58.0,1.0,1,1,1,1,0,31.0,38.0,2,360,,130.0,1,0,0,N,0,0,1.0,301.0,3.2,0,0,1,1,0,18.0,229.6941,0,0
1307,1,1,1,124,0,1120,0,1,5.0,1,2.0,47.0,3.0,,,,,1,1,2,11.0,11.0,0,3917,0,3917,0,1261.0,165.0,0.0,54.0,1.0,1,1,2,1,0,32.0,35.0,1,360,,165.0,2,0,0,N,0,0,1.0,143.0,2.0,0,0,1,0,1,12.0,212.0536,0,0
1308,1,1,1,182,0,1120,0,1,5.0,1,2.0,99.0,3.0,,,,,1,1,3,17.0,1.0,0,7107,0,8232,0,1894.0,228.0,0.0,52.0,1.0,1,9,1,5,0,23.0,25.0,1,360,,228.0,2,0,0,Y,0,0,1.0,127.0,3.2,0,1,1,1,1,15.0,314.5037,0,0
1310,1,1,1,426,0,1120,0,1,5.0,1,2.0,160.0,0.0,,,,,1,1,2,10.0,1.0,0,13333,0,13333,0,4227.0,533.0,0.0,188.0,1.0,1,7,1,2,0,32.0,38.0,1,360,,535.0,2,0,0,N,0,0,1.0,612.0,3.9,0,1,1,1,0,16.0,191.3909,0,0
1311,1,1,1,140,0,1120,0,1,5.0,0,1.0,77.0,3.0,,,,,1,1,1,8.0,8.0,0,2665,2667,3782,2667,1423.0,140.0,0.0,32.0,1.0,1,11,1,1,0,22.0,37.0,1,360,,160.0,2,1,0,N,0,0,1.0,37.0,1.8,0,0,1,0,0,16.0,229.6941,0,0
1312,1,1,1,90,0,1120,0,1,8.0,1,4.0,39.0,3.0,,,,,1,0,0,5.0,5.0,0,2651,0,3271,0,816.0,120.0,0.0,5.0,1.0,1,3,1,2,0,26.0,27.0,1,360,,145.0,2,0,0,N,0,0,1.0,103.0,3.9,0,1,1,0,0,12.0,266.1145,0,0
1313,1,1,1,152,0,1120,0,1,5.0,1,2.0,77.0,0.0,,,,,1,1,0,6.0,6.0,0,3750,2666,3750,2666,1452.0,190.0,0.0,51.0,1.0,1,3,2,2,0,22.0,24.0,1,360,,193.0,2,0,0,N,0,0,1.0,74.0,3.2,0,1,1,0,0,16.0,240.6968,0,0
1314,1,1,1,108,0,1120,0,1,5.0,1,2.0,51.0,1.0,,,,,1,1,3,17.0,1.0,0,2773,1382,2773,1497,1131.0,146.0,0.0,6.0,1.0,1,6,4,1,0,27.0,36.0,2,360,,160.0,2,0,0,N,0,0,1.0,153.0,10.6,0,1,0,0,0,16.0,273.3417,0,0
1316,1,1,1,210,0,1120,0,1,8.0,1,4.0,103.0,0.0,,,,,1,0,0,14.0,2.0,0,8566,0,8566,0,1959.0,339.0,0.0,206.0,1.0,1,2,1,1,0,23.0,23.0,1,360,,339.0,2,0,0,N,0,0,1.0,456.0,1.8,0,0,1,1,0,16.0,221.8538,0,0
1317,1,1,1,107,0,1120,0,1,5.0,1,2.0,43.0,3.0,,,,,1,1,2,5.0,5.0,0,2513,1110,2513,1110,1114.0,146.0,0.0,57.0,1.0,1,5,2,1,0,31.0,33.0,2,360,,150.0,2,0,0,Y,0,0,1.0,82.0,10.6,0,1,1,1,0,12.0,220.3227,0,0
1318,1,1,1,600,0,1120,0,1,5.0,0,1.0,234.0,0.0,,,,,1,1,1,18.0,18.0,1,19484,0,19484,0,5601.0,1000.0,0.0,924.0,1.0,1,0,1,1,0,28.0,28.0,1,360,,1000.0,2,0,0,N,0,0,1.0,5896.0,3.2,0,0,1,1,0,16.0,243.656,0,0
1319,1,1,1,50,0,1120,0,1,8.0,1,4.0,39.0,1.0,,,,,1,0,0,7.0,7.0,0,3254,0,3254,0,574.0,63.0,0.0,14.0,1.0,1,5,1,3,0,18.0,33.0,2,360,,66.0,2,0,0,N,0,0,1.0,-95.0,3.1,0,0,1,0,1,15.0,212.0536,0,0
1320,1,1,1,143,1,1120,0,1,5.0,1,2.0,53.0,,3,3.0,,,1,0,0,4.0,4.0,1,2712,1733,2712,1733,1284.0,150.0,0.0,12.0,1.0,0,5,2,3,0,29.0,37.0,1,360,HOME ADV 2,150.0,2,1,1,N,0,0,1.0,4.0,4.3,0,1,1,0,0,14.0,203.6794,0,0
1321,1,1,1,124,0,1120,0,1,5.0,1,2.0,62.0,0.0,,,,,1,1,0,2.0,2.0,0,1482,1733,1482,3657,1258.0,130.0,0.0,19.0,1.0,1,6,2,2,0,24.0,32.0,1,360,HOME ADV 2,135.0,2,1,0,N,0,0,1.0,42.0,3.2,0,0,1,0,0,14.0,175.7134,0,0
1322,1,1,1,85,0,1120,0,1,8.0,1,4.0,37.0,0.0,,,,,1,0,0,5.0,2.0,0,2435,0,3077,0,849.0,106.0,0.0,46.0,1.0,1,0,2,1,0,27.0,27.0,1,360,HOME ADV 2,122.0,2,0,0,N,0,0,1.0,76.0,3.9,0,0,1,0,1,12.0,245.8152,0,0
1323,1,1,1,137,0,1120,0,1,5.0,1,2.0,56.0,0.0,,,,,1,1,3,21.0,8.0,0,2903,1752,2903,1752,1308.0,144.0,0.0,25.0,1.0,1,1,2,1,0,28.0,28.0,1,360,HOME ADV 2,144.0,2,1,0,N,0,0,1.0,44.0,4.3,0,0,1,1,0,12.0,216.1895,0,0
1324,1,1,1,140,0,1120,0,1,5.0,1,2.0,56.0,0.0,,,,,1,1,0,4.0,4.0,0,3016,1646,3016,1646,1376.0,147.0,0.0,14.0,1.0,1,7,2,1,0,30.0,39.0,1,360,HOME ADV 2,147.0,2,1,0,N,0,0,1.0,37.0,3.1,0,0,1,0,0,12.0,230.282,0,0
1325,1,1,1,123,0,1120,0,1,5.0,1,2.0,48.0,0.0,,,,,1,1,2,17.0,16.0,0,3212,806,3212,806,1258.0,130.0,0.0,23.0,1.0,1,5,2,5,0,31.0,38.0,1,360,HOME ADV 2,131.0,2,1,0,N,0,0,1.0,34.0,3.2,0,0,1,1,0,16.0,229.6941,0,0
1326,1,1,1,148,0,1120,0,1,5.0,1,2.0,5.0,0.0,,,,,1,1,1,10.0,4.0,0,2667,1542,2667,1542,1415.0,185.0,0.0,12.0,1.0,1,5,1,1,0,34.0,38.0,1,360,,185.0,2,0,0,N,0,0,1.0,119.0,10.6,0,0,1,0,0,13.0,205.8123,0,0
1327,1,1,1,109,1,1120,0,1,8.0,1,4.0,40.0,,8,8.0,,,1,0,0,10.0,3.0,0,3333,0,3333,0,1024.0,115.0,0.0,13.0,1.0,1,3,2,1,0,31.0,38.0,1,360,HOME ADV 2,115.0,1,1,1,N,0,0,1.0,25.0,3.2,0,1,1,0,0,14.0,262.2827,0,0
1329,1,1,1,113,1,1120,0,0,3.0,1,2.0,60.0,,3,,,,1,1,1,8.0,1.0,0,2014,2925,2014,2925,1210.0,125.0,0.0,31.0,1.0,1,7,2,6,0,25.0,30.0,1,360,,125.0,2,0,0,N,0,1,1.0,65.0,2.0,0,0,1,1,0,23.0,219.6162,0,0
1331,1,1,1,120,0,1120,0,0,3.0,1,2.0,59.0,0.0,,,,,1,1,1,8.0,1.0,0,2014,2925,2014,2925,1247.0,133.0,0.0,37.0,1.0,1,6,2,6,0,25.0,39.0,2,360,,140.0,2,1,0,N,0,0,1.0,51.0,2.0,0,0,1,1,0,23.0,219.6162,0,0
1334,1,1,1,170,0,1120,0,1,5.0,1,2.0,84.0,0.0,,,,,1,1,0,6.0,5.0,0,2667,4345,2667,4345,1602.0,289.0,0.0,60.0,2.0,1,7,2,1,0,22.0,34.0,1,360,,269.0,2,0,0,N,0,0,1.0,157.0,3.1,0,1,1,1,0,16.0,232.8132,0,0
1335,1,1,1,128,0,1120,0,1,5.0,1,2.0,99.0,0.0,,,,,1,1,1,20.0,4.0,1,5000,3125,6994,3284,1935.0,376.0,0.0,308.0,1.0,1,10,2,1,0,17.0,19.0,2,180,,376.0,2,0,0,N,0,0,3.0,769.89,3.2,0,0,1,1,0,18.0,264.5699,0,0
