,seq,s3,s4,s5,s6,s7,s9,s11,s13,s14,s15,s16,s17,s18,s19a,s19b,s19c,s19d,s20,s23a,s24a,s25a,s26a,s27a,s30a,s30c,s31a,s31c,s32,s33,s34,s35,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,netw,uria,rtdum,bd,mi,old,vr,school,chval,dnotown,dprop
487,954,1,1,1,196,3,1120,0,5,8.0,1,4.0,125.0,,1,1.0,,,1.0,U,1,15.0,15.0,0,10417.0,0.0,11250.0,0.0,1017.0,245.0,0.0,124.0,1.0,0,20.0,2,6,1,9.04,30.37,1,360.0,,245.0,2,0,0,N,0,0,1.0,2.0,3.2,0,0,1,1,0,19.0,231.5753,0,0
488,955,1,1,2,186,1,1120,1,5,5.0,1,2.0,264.0,3.0,,,,,1.0,M,1,26.0,17.0,1,13170.0,2583.0,19420.0,2583.0,4080.0,275.0,0.0,534.0,2.0,1,21.0,2,1,0,19.0,41.0,2,180.0,,265.0,1,0,0,N,0,0,1.0,3730.0,10.6,0,1,1,1,0,17.0,279.7201,1,0
489,956,1,1,1,105,3,1120,0,5,8.0,1,4.0,78.0,,3,3.0,,,1.0,U,0,1.0,1.0,0,5000.0,0.0,6500.0,0.0,1166.0,105.0,0.0,21.0,1.0,0,15.0,2,6,1,18.0,18.0,2,360.0,,105.0,1,0,0,N,0,0,1.0,2600.0,10.6,0,1,1,0,1,22.0,228.3084,0,0
490,959,1,1,1,160,1,1120,0,5,5.0,1,2.0,99.0,0.0,,,,,1.0,M,0,11.0,1.0,1,6067.0,2058.0,6067.0,2159.0,1709.0,200.0,0.0,53.0,3.0,1,24.0,2,2,0,27.0,40.0,2,360.0,,225.0,2,0,0,N,0,0,1.0,6.0,4.3,0,0,1,0,0,12.0,254.0955,0,0
491,960,1,1,1,108,1,1120,0,5,8.0,2,4.0,40.0,0.0,,,,,1.0,U,1,13.0,3.0,0,3367.0,0.0,3367.0,0.0,1152.0,130.0,0.0,37.0,2.0,1,6.0,2,2,0,31.0,31.0,2,360.0,M H F A,139.0,2,1,0,Y,1,0,1.0,-50.0,3.2,0,0,1,0,0,16.0,215.4068,0,0
492,961,1,1,1,126,1,1120,0,5,8.0,1,4.0,38.0,0.0,,,,,1.0,M,0,8.0,5.0,0,3440.0,1920.0,3940.0,1970.0,2420.0,330.0,0.0,115.0,4.0,1,43.0,2,1,0,34.0,53.0,2,360.0,,272.0,2,0,0,N,1,0,2.0,130.0,3.9,0,1,1,0,0,16.0,232.7577,0,0
493,963,1,1,1,124,1,1120,0,5,5.0,1,2.0,59.0,9.0,,,,,1.0,U,0,5.0,2.0,0,3000.0,1925.0,3000.0,1925.0,1308.0,155.0,0.0,36.0,2.0,1,14.0,2,2,0,26.58,32.58,2,360.0,,157.0,2,0,0,Y,0,0,1.0,38.0,3.1,0,0,1,0,0,16.0,215.4068,0,0
494,964,1,1,1,46,1,1120,0,5,8.0,1,4.0,29.0,9.0,,,,,1.0,U,2,11.0,11.0,0,1606.0,0.0,2400.0,0.0,597.0,76.0,0.0,36.0,1.0,1,8.0,1,1,0,24.79,39.24,2,360.0,,75.0,1,0,0,N,0,0,1.0,56.0,2.0,0,0,1,1,0,16.0,246.2572,0,0
495,965,1,1,1,80,1,1120,0,5,8.0,1,4.0,56.0,9.0,,,,,1.0,M,1,13.0,8.0,0,4700.0,0.0,4700.0,0.0,903.0,223.0,0.0,55.0,1.0,1,8.0,2,1,0,19.34,22.51,2,360.0,,223.0,2,0,0,Y,0,0,1.0,343.0,3.2,0,1,1,1,0,17.0,237.0038,0,0
496,966,1,1,1,183,1,1120,0,5,5.0,1,2.0,91.0,9.0,,,,,1.0,M,2,8.0,7.0,0,7600.0,0.0,7600.0,0.0,1807.0,229.0,0.0,147.0,1.0,1,41.0,1,1,1,23.85,38.17,2,360.0,,236.0,2,0,0,N,0,0,1.0,317.0,4.3,0,0,1,1,0,16.0,213.9908,0,0
497,967,1,1,1,148,1,1120,0,3,5.0,1,2.0,80.0,9.0,,,,,1.0,U,3,25.0,25.0,0,4707.0,1993.0,4707.0,1993.0,1524.0,164.0,0.0,40.0,2.0,1,37.0,2,1,0,22.75,33.75,2,360.0,,164.0,2,1,0,Y,0,0,1.0,97.0,3.9,0,0,1,1,0,12.0,213.9908,0,0
498,1026,1,1,1,155,2,1120,0,5,8.0,2,4.0,30.0,0.0,,,,,2.0,U,1,23.0,23.0,0,3306.0,0.0,3481.0,0.0,550.0,300.0,0.0,356.0,1.0,1,14.0,1,2,0,16.0,16.0,1,36.0,,170.0,2,0,0,N,0,0,1.0,574.0,3.2,0,0,1,1,1,16.0,306.8191,0,0
499,1027,1,1,1,80,3,1120,1,3,8.0,2,4.0,28.0,0.0,,1.0,4.0,,1.0,U,0,2.0,2.0,0,2720.0,0.0,2720.0,0.0,850.0,104.0,0.0,62.0,0.0,0,0.0,2,4,0,30.0,30.0,1,999999.4,,72.0,2,0,0,N,0,1,1.0,74.0,4.3,0,1,1,0,0,12.0,279.7201,0,0
500,1029,1,1,1,400,1,1120,0,5,8.0,1,4.0,34.0,0.0,,,,,1.0,U,0,20.0,20.0,1,1787.0,0.0,2762.0,0.0,154.0,300.0,0.0,14.28,2.0,1,2.0,1,1,0,8.0,10.0,1,12.0,,730.0,2,1,0,N,0,0,1.0,599.0,1.8,0,0,1,1,0,12.0,249.0624,0,0
501,1031,1,1,1,139,1,1120,0,5,5.0,1,2.0,70.0,0.0,,,,,1.0,M,1,23.0,1.5,0,4083.0,1775.0,4083.0,1775.0,750.0,148.0,0.0,17.0,4.0,1,37.0,1,3,0,12.0,20.0,1,60.0,,148.0,1,1,0,N,0,0,1.0,55.0,3.2,0,0,1,1,0,16.0,241.915,0,0
502,1032,1,1,1,145,1,1120,1,5,8.0,1,4.0,85.0,0.0,,,,,1.0,U,0,19.0,2.0,0,7093.0,0.0,7093.0,0.0,441.0,182.0,0.0,50.0,2.0,1,12.0,1,1,0,6.0,8.0,1,36.0,,199.0,1,0,0,N,0,0,1.0,-4288.0,3.2,0,0,1,1,1,21.0,229.7082,0,0
503,1033,1,1,1,300,1,1120,0,5,8.0,1,4.0,260.0,0.0,,,,,1.0,U,2,21.0,21.0,1,4616.0,0.0,4616.0,0.0,2800.0,383.0,0.0,5.6,2.0,1,26.0,1,2,0,6.0,10.0,1,12.0,,383.0,2,1,0,N,0,0,1.0,378.0,3.6,0,0,1,1,0,17.0,227.4797,0,0
504,1034,1,1,1,169,1,1120,1,3,3.0,1,2.0,83.0,0.0,,,,,1.0,M,2,14.0,14.0,0,3271.0,3373.0,3554.0,3373.0,1223.0,185.0,168.0,10.6,4.0,1,9.0,1,2,0,7.0,17.0,1,12.0,,138.0,2,1,0,N,0,0,1.0,186.9,2.0,0,1,1,1,0,16.0,309.9497,0,0
505,1038,1,1,1,142,1,1120,0,5,5.0,1,2.0,82.0,0.0,,,,,1.0,U,0,8.0,3.5,0,3908.0,2917.0,3908.0,2917.0,1439.0,178.0,0.0,12.0,4.0,1,21.0,2,1,0,21.0,29.0,1,360.0,FTHB,178.0,2,0,0,Y,0,0,2.0,26.0,5.3,0,1,1,0,0,18.0,221.9834,0,0
506,1040,1,1,1,142,1,1120,0,5,8.0,1,4.0,53.0,0.0,,,,,1.0,U,0,9.0,5.5,0,4416.0,0.0,4416.0,0.0,1450.0,154.0,0.0,20.0,2.0,1,12.0,2,2,0,33.0,37.0,1,360.0,FTHB,154.0,1,1,0,N,0,0,2.0,46.0,3.2,0,0,1,0,0,16.0,302.83,0,0
507,1041,1,1,1,92,1,1120,0,5,8.0,2,4.0,41.0,0.0,,,,,1.0,U,0,8.0,8.0,0,3454.0,0.0,3454.0,0.0,1100.0,115.0,12.0,25.0,2.0,1,7.0,2,1,0,32.0,36.0,1,360.0,FTHB,135.0,1,0,0,Y,0,0,3.0,69.0,1.8,0,1,1,0,1,15.0,371.5812,0,0
508,1042,1,1,1,150,1,1120,0,5,5.0,1,2.0,108.0,0.0,,,,,1.0,M,0,1.5,1.5,0,3500.0,5500.0,3500.0,5500.0,1510.0,168.0,0.0,26.0,4.0,1,35.0,2,2,0,17.0,25.0,1,360.0,FTHB,168.0,1,1,0,Y,0,0,3.0,16.0,3.2,0,1,1,0,0,18.0,287.6982,0,0
509,1045,1,1,1,104,3,1120,0,5,5.0,1,2.0,32.0,0.0,,1.0,3.0,,1.0,M,2,7.0,4.0,0,2000.0,700.0,2540.0,700.0,1149.0,130.0,0.0,31.0,2.0,0,6.0,2,6,1,32.0,36.0,1,360.0,,130.0,2,0,0,N,0,0,2.0,83.0,2.0,0,1,1,0,1,14.0,316.6006,0,0
510,1047,1,1,1,245,1,1120,0,5,5.0,1,2.0,88.0,0.0,,,,,1.0,M,0,15.0,2.5,0,3800.0,3000.0,3800.0,3000.0,2400.0,275.0,0.0,38.0,4.0,1,19.0,2,1,0,36.0,39.0,1,360.0,FTHB,275.0,2,1,0,N,0,0,2.0,70.0,3.1,0,0,1,0,0,16.0,221.4728,0,0
511,1050,1,1,1,107,1,1120,0,5,8.0,1,4.0,48.0,0.0,,,,,1.0,U,1,10.0,5.0,0,4000.0,0.0,4000.0,0.0,1209.0,134.0,13.0,37.0,2.0,1,14.0,2,2,0,31.0,38.0,1,360.0,FTHB,138.0,1,0,0,N,0,0,2.0,48.0,3.2,1,1,0,1,0,20.0,381.4504,0,0
512,1051,1,1,1,116,1,1120,0,5,5.0,1,2.0,31.0,0.0,,,,,1.0,U,0,3.0,3.0,1,0.0,2625.0,0.0,3325.0,1128.0,145.0,0.0,23.0,4.0,1,40.0,2,2,0,34.0,40.0,1,360.0,FTHB,145.0,1,0,0,Y,0,0,5.0,45.0,3.2,1,0,0,0,1,16.0,353.3631,0,0
513,1056,1,1,1,308,2,1120,0,5,5.0,1,2.0,158.0,0.0,,,,,1.0,U,0,23.0,0.9,0,8750.0,4167.0,8750.0,4167.0,3177.0,385.0,0.0,527.0,4.0,1,22.0,1,1,0,25.0,36.0,1,360.0,,385.0,2,0,0,N,0,0,2.0,720.0,3.2,0,1,1,1,1,20.0,310.7763,0,0
514,1057,1,1,1,239,1,1120,0,5,5.0,1,2.0,72.0,0.0,,,,,1.0,M,0,24.0,11.0,1,2732.0,3615.0,2732.0,4333.0,2385.0,260.0,0.0,63.0,4.0,1,9.0,2,2,0,34.0,38.0,1,360.0,,260.0,1,1,0,N,0,0,2.0,108.0,5.3,0,1,1,1,0,21.0,275.2055,0,0
515,1061,1,1,1,118,1,1120,0,5,5.0,2,2.0,48.0,0.0,,,,,1.0,U,0,10.0,10.0,0,2210.0,1811.0,2210.0,1811.0,1222.0,178.0,0.0,117.0,4.0,1,16.0,2,1,0,31.0,33.0,1,360.0,FTHB,179.0,2,0,0,N,0,0,2.0,140.0,3.2,0,1,0,1,0,12.0,210.8712,0,0
516,1062,1,1,1,290,1,1120,0,5,5.0,1,2.0,135.0,0.0,,,,,1.0,M,0,8.0,3.0,0,5334.0,5916.0,5334.0,5916.0,2916.0,362.0,0.0,108.0,4.0,1,14.0,1,2,0,26.0,37.0,1,360.0,,370.0,2,0,0,N,0,0,2.0,269.0,2.0,0,0,1,0,0,17.0,228.1231,0,0
517,1063,1,1,1,230,1,1120,0,3,3.0,1,2.0,234.0,0.0,,,,,1.0,M,3,22.0,20.0,1,17500.0,2000.0,17500.0,2000.0,2453.0,287.0,0.0,161.0,4.0,1,17.0,1,3,1,13.0,22.0,1,360.0,,288.0,1,0,0,N,0,0,3.0,842.0,3.2,0,1,1,1,1,18.0,233.188,0,0
518,1064,1,1,1,250,1,1120,0,5,5.0,1,2.0,130.0,0.0,,,,,1.0,M,2,0.9,0.9,0,8333.0,0.0,10833.0,0.0,2522.0,590.0,0.0,816.0,4.0,1,28.0,1,1,1,24.0,30.0,1,360.0,,590.0,2,0,0,N,0,0,2.0,1002.0,3.2,0,0,1,1,0,18.0,222.4111,0,0
519,1065,1,1,1,139,1,1120,0,5,8.0,2,4.0,68.0,0.0,,,,,1.0,U,0,11.0,2.0,0,4166.0,0.0,4166.0,0.0,1432.0,151.0,0.0,25.0,2.0,1,5.0,2,1,0,35.0,36.0,1,360.0,FTHB,152.0,1,1,0,N,0,0,3.0,75.0,3.2,0,0,1,1,1,20.0,196.7556,0,0
520,1066,1,1,1,164,1,1120,0,5,5.0,1,2.0,75.0,0.0,,,,,1.0,M,2,4.0,3.0,0,6250.0,0.0,6250.0,0.0,1731.0,183.0,0.0,42.0,4.0,1,18.0,2,6,0,28.0,41.0,1,360.0,FTHB,183.0,2,1,0,Y,0,0,2.0,29.0,3.2,0,1,1,0,0,21.0,280.153,0,0
521,1068,1,1,1,80,2,1120,0,5,8.0,2,4.0,36.0,0.0,,,,,1.0,U,0,1.0,1.0,0,3167.0,0.0,3167.0,0.0,919.0,119.0,0.0,49.0,2.0,1,12.0,2,1,0,30.0,35.0,1,360.0,FTHB,117.0,1,0,0,N,0,0,2.0,86.0,3.1,0,1,1,0,0,16.0,275.2055,0,0
522,1069,1,1,1,132,1,1120,0,5,8.0,1,4.0,48.0,0.0,,,,,1.0,U,0,14.0,0.92,0,4320.0,0.0,4320.0,0.0,1380.0,165.0,0.0,78.0,2.0,1,5.0,2,1,0,32.0,32.0,1,360.0,FTHB,165.0,2,0,0,N,0,0,2.0,125.0,3.2,0,1,1,1,1,16.0,227.7416,0,0
523,1070,1,1,1,125,3,1120,0,3,3.0,1,2.0,54.0,0.0,,3.0,1.0,,1.0,M,5,9.0,7.0,0,2429.0,2123.0,2429.0,2123.0,1258.0,135.0,0.0,13.0,4.0,0,18.0,2,6,1,28.0,41.0,1,360.0,FTHB,135.0,2,1,1,Y,0,0,4.0,26.0,3.2,0,0,1,1,1,16.0,251.6791,0,0
524,1072,1,1,1,148,1,1120,0,5,5.0,1,2.0,67.0,0.0,,,,,1.0,M,2,6.0,6.0,0,4800.0,750.0,4800.0,750.0,1521.0,165.0,0.0,19.0,4.0,1,6.0,2,1,0,28.0,32.0,1,360.0,FTHB,165.0,2,1,0,Y,0,0,3.0,19.0,3.2,0,0,1,0,0,22.0,191.2606,0,0
525,1074,1,1,1,171,1,1120,0,5,5.0,1,1.0,97.0,0.0,,,,,1.0,M,0,7.0,3.0,0,4400.0,3683.0,5200.0,3683.0,1521.0,195.0,0.0,46.0,4.0,1,30.0,1,3,0,18.0,40.0,1,360.0,,195.0,2,1,0,N,0,0,3.0,159.0,1.8,0,0,1,0,0,17.0,325.0662,0,0
526,1078,1,1,1,152,3,1120,0,3,3.0,1,2.0,79.0,0.0,,9.0,,,1.0,U,0,0.92,0.92,0,4000.0,2667.0,4000.0,2667.0,1756.0,190.0,0.0,39.0,2.0,1,10.0,2,1,0,27.0,33.0,2,360.0,,190.0,2,0,0,N,0,0,1.0,46.0,3.1,0,0,0,0,1,18.0,209.8517,0,0
527,1079,1,1,1,166,1,1120,0,5,5.0,2,1.0,80.0,0.0,,,,,1.0,M,0,7.0,2.0,0,3541.0,3180.0,3541.0,3180.0,1670.0,184.0,0.0,19.0,4.0,1,23.0,2,1,0,25.0,28.0,1,360.0,FTHB,184.0,2,1,0,N,0,0,3.0,24.0,1.8,0,1,1,1,0,24.0,237.0038,0,0
528,1081,1,1,1,132,1,1120,0,5,5.0,1,2.0,50.0,0.0,,,,,1.0,M,3,12.0,12.0,0,4000.0,200.0,4000.0,200.0,1433.0,180.0,0.0,4.0,4.0,1,18.0,1,2,0,35.0,35.0,1,360.0,,300.0,2,0,0,Y,1,0,3.0,65.0,10.6,0,0,1,0,0,19.0,228.1231,0,0
529,1092,1,1,1,90,3,1120,1,3,8.0,2,4.0,32.0,0.0,,9.0,,,1.0,M,4,10.0,10.0,0,1213.0,0.0,1213.0,0.0,942.0,100.0,0.0,10.0,0.0,1,8.0,2,1,0,35.0,40.0,1,360.0,1,115.0,1,0,0,N,0,0,999999.4,27.5,3.2,1,1,0,1,1,12.0,470.655,0,0
530,1093,1,1,1,168,3,1120,0,3,5.0,1,2.0,110.0,0.0,,3.0,1.0,,1.0,M,2,0.75,0.75,1,3333.0,3750.0,5433.0,3750.0,1650.0,186.5,0.0,1.2,0.0,0,12.0,2,6,1,18.0,30.0,1,360.0,REO SALE,186.5,1,1,0,N,0,0,999999.4,11.5,1.8,0,1,1,1,0,14.0,232.5738,0,0
531,1094,1,1,1,94,1,1120,1,5,8.0,1,4.0,53.0,0.0,,,,,1.0,U,0,6.0,4.0,0,4400.0,0.0,4400.0,0.0,1030.0,102.0,0.0,21.0,0.0,1,6.0,2,4,0,23.0,35.0,2,360.0,,107.5,1,1,0,N,0,0,999999.4,20.5,1.8,1,1,0,0,1,16.0,485.2,0,0
532,1095,1,1,1,130,1,1120,0,5,5.0,1,2.0,85.0,6.0,,,,,1.0,M,0,7.0,7.0,0,4750.0,2333.0,4750.0,2333.0,1350.0,185.5,0.0,89.9,0.0,1,9.0,1,1,0,19.0,20.0,2,360.0,,185.5,2,0,0,N,0,0,999999.4,92.9,3.2,0,0,1,0,0,18.0,219.3887,0,0
533,1096,1,1,1,90,1,1120,0,5,5.0,1,2.0,45.0,6.0,,,,,1.0,M,2,15.0,10.0,0,3750.0,0.0,3900.0,0.0,1077.0,239.0,0.0,35.6,0.0,1,10.0,4,1,0,28.0,29.0,2,360.0,,240.0,2,0,0,N,0,0,999999.4,241.7,3.2,0,0,1,1,0,18.0,264.3458,0,0
534,1097,1,1,1,164,1,1120,0,5,5.0,1,2.0,74.0,0.0,,,,,1.0,M,0,0.08,0.08,0,2304.0,2167.0,2304.0,2167.0,1693.0,182.0,0.0,25.4,0.0,1,12.0,2,2,0,27.0,36.0,2,360.0,,200.0,2,1,0,N,0,0,999999.4,27.4,3.2,0,1,1,0,0,17.0,222.6419,0,0
535,1098,1,1,1,41,1,1120,0,5,8.0,2,4.0,31.0,0.0,,,,,1.0,S,0,12.0,12.0,0,2600.0,0.0,2600.0,0.0,537.0,116.5,0.0,128.678,0.0,1,12.0,2,1,0,20.0,34.0,2,360.0,,117.0,2,0,0,N,0,0,999999.4,141.778,3.2,0,1,1,1,1,12.0,306.6401,0,0
536,1099,1,1,2,100,1,1120,0,5,8.0,1,4.0,91.0,6.0,,,,,1.0,M,0,0.5,0.5,0,6875.0,0.0,7555.0,0.0,1379.0,260.0,0.0,921.6,0.0,1,10.0,2,2,0,4.0,26.0,2,180.0,,252.0,2,0,0,N,0,0,999999.4,1703.3,2.0,0,1,1,0,1,18.0,304.1816,1,0
537,1101,1,1,1,187,1,1120,0,5,5.0,1,2.0,157.0,9.0,,,,,1.0,M,0,5.0,5.0,0,6500.0,4333.0,6500.0,4333.33,2275.0,290.0,0.0,52.0,1.0,1,21.0,1,2,0,21.0,28.0,2,360.0,,292.7,2,0,0,N,0,0,2.0,21.11,3.2,0,1,1,1,0,22.0,213.7436,0,0
538,1103,1,1,1,180,1,1120,0,5,5.0,1,2.0,108.0,9.0,,,,,1.0,M,0,10.0,6.0,0,4983.0,3583.0,4983.0,3583.0,2056.0,435.0,0.0,80.0,1.0,1,34.0,1,2,0,24.0,43.0,2,360.0,,448.0,2,0,0,N,0,0,1.0,-10.0,4.3,0,1,1,0,0,18.0,213.7436,0,0
539,1104,1,1,1,118,1,1120,0,5,5.0,1,2.0,60.0,9.0,,,,,1.0,M,0,6.0,5.0,1,395.0,2500.0,2539.0,2500.0,0.0,148.0,0.0,145.0,1.0,1,17.0,1,1,0,20.0,27.0,2,360.0,,148.0,1,0,0,N,0,0,1.0,176.7,3.2,0,0,1,1,0,16.0,213.9908,0,0
540,1107,1,1,1,137,1,1120,0,5,5.0,2,1.0,75.0,9.0,,,,,1.0,U,0,4.0,2.0,0,3008.0,3333.0,3008.0,3333.0,1395.0,182.0,0.0,15.625,2.0,1,5.0,2,2,0,22.0,28.0,2,360.0,,183.75,2,0,0,N,0,0,3.0,31.0,3.2,0,0,1,0,0,18.0,249.4382,0,0
541,1108,1,1,1,115,1,1120,0,5,5.0,2,1.0,56.0,9.0,,,,,1.0,M,0,4.0,4.0,0,2979.0,1750.0,2979.0,1750.0,1182.0,135.0,0.0,26.0,2.0,1,11.0,2,1,0,25.0,27.0,2,360.0,,135.05,2,1,0,N,0,0,2.0,35.564,3.2,0,0,1,0,0,16.0,203.1049,0,0
542,1109,1,1,1,125,1,1120,0,5,8.0,2,4.0,51.0,9.0,,,,,1.0,U,0,38.0,38.0,0,2894.0,0.0,3765.0,0.0,1130.0,195.0,0.0,80.0,2.0,1,15.0,1,1,0,30.0,36.0,2,360.0,,195.4,2,0,0,N,0,0,1.0,388.718,3.2,0,0,1,1,0,12.0,239.1944,0,0
543,1110,1,1,1,150,1,1120,0,5,5.0,1,2.0,40.0,9.0,,,,,1.0,M,2,999999.4,999999.4,0,0.0,2946.0,0.0,4144.0,2238.0,239.5,0.0,15.0,2.0,1,13.0,3,2,0,35.0,35.0,2,360.0,,240.0,2,0,0,N,0,0,2.0,607.0,3.6,0,0,1,1,0,12.0,213.4607,0,0
544,1111,1,1,1,100,1,1120,0,5,8.0,2,4.0,40.0,9.0,,,,,1.0,U,0,3.0,2.5,0,2762.0,0.0,3159.0,0.0,979.0,114.75,0.0,22.0,3.0,1,12.0,2,1,0,31.0,33.0,2,360.0,,116.425,2,1,0,N,0,0,2.0,-71.7,3.2,0,0,0,0,1,14.0,285.496,0,0
545,1112,1,1,1,110,1,1120,0,5,5.0,1,2.0,60.0,9.0,,,,,1.0,M,0,35.0,26.0,0,5000.0,0.0,5720.0,0.0,1373.0,143.0,0.0,153.0,2.0,1,17.0,1,3,0,24.0,32.0,2,360.0,,148.0,2,0,0,N,0,0,2.0,345.0,3.1,0,0,1,1,0,14.0,213.9908,0,0
546,1113,1,1,1,55,1,1120,0,5,5.0,1,2.0,97.0,9.0,,,,,1.0,M,1,28.0,10.0,0,3218.0,676.0,3218.0,676.0,156.0,110.0,0.0,170.0,3.0,1,11.0,1,1,0,4.0,23.0,2,180.0,,110.0,2,0,0,N,1,0,1.0,360.0,3.2,0,0,1,1,1,12.0,215.1557,0,0
547,1114,1,1,1,110,1,1120,0,5,5.0,1,2.0,55.0,9.0,,,,,1.0,M,2,3.0,3.0,0,2666.0,1125.0,3499.0,1125.0,1295.0,215.0,0.0,35.0,3.0,1,19.0,2,2,0,28.0,37.0,2,360.0,,225.8,2,0,0,N,0,0,2.0,125.0,2.0,0,1,1,0,0,16.0,226.2542,0,0
548,1122,1,1,1,119,1,1120,0,5,5.0,1,2.0,73.0,0.0,,,,,1.0,M,0,3.0,1.0,0,2993.0,3099.0,2993.0,3099.0,1150.0,150.0,0.0,3.0,4.0,1,23.0,2,2,0,17.25,33.12,1,360.0,,175.0,2,0,0,N,0,0,1.0,71.0,10.6,0,1,1,0,0,14.0,245.5741,0,0
549,1123,1,1,1,95,3,1120,0,5,5.0,1,2.0,42.0,0.0,9,9.0,,,1.0,U,0,4.0,1.0,0,2375.0,2083.0,2875.0,2416.0,1359.0,175.0,0.0,42.0,1.0,0,20.0,2,5,0,25.69,35.13,1,6.0,,175.0,2,0,0,N,0,0,1.0,53.0,3.2,0,1,1,0,1,14.0,314.5037,0,0
550,1124,1,1,1,143,1,1120,0,5,5.0,1,2.0,61.0,3.0,,,,,1.0,M,2,20.0,3.0,0,5128.0,0.0,5128.0,0.0,1543.0,189.0,0.0,40.0,2.0,1,11.0,1,1,0,28.2,45.7,2,360.0,,190.0,2,0,0,N,0,0,1.0,344.0,3.2,0,1,0,1,0,15.0,273.3417,0,0
551,1125,1,1,1,121,1,1120,0,5,5.0,1,2.0,53.0,1.0,,,,,1.0,M,0,11.0,5.0,0,1975.0,2317.0,2153.0,2317.0,1413.0,128.0,0.0,20.0,2.0,1,9.0,2,1,0,29.33,35.24,2,360.0,,134.0,2,1,0,N,0,0,1.0,26.0,3.1,0,1,1,0,1,15.0,306.6401,0,0
552,1126,1,1,1,120,3,1120,0,5,5.0,1,2.0,75.0,0.0,1,1.0,,,1.0,U,0,5.0,5.0,0,3750.0,2483.0,3750.0,2483.0,2679.0,130.0,0.0,17.0,2.0,1,32.0,2,2,0,21.09,41.69,2,360.0,,130.0,2,1,1,N,0,0,1.0,-11.0,10.6,0,1,1,0,1,12.0,219.7587,0,0
553,1127,1,1,1,124,1,1120,0,5,5.0,2,2.0,73.0,1.0,,,,,1.0,M,0,21.0,21.0,0,3550.0,1932.0,3685.0,2460.0,1388.0,155.0,0.0,35.0,4.0,1,21.0,2,1,0,20.95,21.91,2,360.0,,156.0,2,0,0,N,0,0,1.0,69.0,3.9,0,0,1,1,0,12.0,191.0065,0,0
554,1128,1,1,1,47,3,1120,0,5,6.0,1,2.0,39.0,0.0,4,4.0,,,1.0,U,0,2.0,2.0,1,277.0,2969.0,277.0,2969.0,516.0,50.0,0.0,20.0,4.0,1,12.0,2,1,0,15.9,20.52,2,360.0,MFHA,78.0,2,1,1,N,0,0,1.0,15.0,1.8,0,1,1,0,0,12.0,232.8132,0,0
555,1129,1,1,1,91,1,1120,0,5,8.0,2,4.0,37.0,0.0,,,,,1.0,U,1,10.0,10.0,0,433.0,0.0,3353.0,0.0,1183.0,114.0,15.0,8.0,2.0,1,6.0,2,2,0,37.15,46.11,1,360.0,,116.0,1,0,0,Y,0,0,1.0,18.0,5.3,0,1,1,0,1,10.0,184.8615,0,0
556,1130,1,1,1,125,1,1120,0,5,5.0,1,2.0,50.0,3.0,,,,,1.0,M,1,8.0,8.0,0,2539.0,520.0,2539.0,520.0,50.0,130.0,0.0,12.0,2.0,1,16.0,2,2,0,31.58,34.66,2,360.0,,217.0,2,0,0,N,0,0,1.0,128.0,2.0,0,1,1,0,1,16.0,249.0143,0,0
557,1131,1,1,1,70,1,1120,0,5,5.0,1,2.0,44.0,1.0,,,,,1.0,M,2,12.0,5.0,0,1733.0,1952.0,1733.0,1952.0,869.0,88.0,0.0,8.0,2.0,1,12.0,1,1,0,20.89,31.67,2,360.0,,97.0,2,0,0,N,0,0,1.0,70.0,3.1,0,1,1,0,0,12.0,232.8132,0,0
558,1132,1,1,1,115,1,1120,0,5,5.0,1,2.0,54.0,1.0,,,,,1.0,M,0,6.0,6.0,0,2167.0,2400.0,2167.0,2400.0,1314.0,128.0,0.0,23.0,2.0,1,8.0,2,1,0,26.49,37.28,1,360.0,,128.0,2,1,0,N,0,0,1.0,25.0,10.6,0,1,1,0,1,12.0,273.4498,0,0
559,1133,1,1,1,62,1,1120,0,5,8.0,2,4.0,23.0,1.0,,,,,1.0,U,3,2.0,2.0,0,931.0,0.0,1103.0,0.0,859.0,143.0,0.0,58.0,1.0,1,8.0,2,1,0,66.1,66.1,1,360.0,,143.0,2,0,0,N,0,0,1.0,233.0,2.0,0,1,1,0,1,12.0,219.7587,0,0
560,1135,1,1,1,122,1,1120,0,5,5.0,1,2.0,58.0,1.0,,,,,1.0,M,1,10.0,5.0,0,2492.0,2375.0,2492.0,2375.0,1350.0,137.0,0.0,18.0,2.0,1,31.0,2,1,0,26.43,35.62,2,360.0,,144.0,2,1,0,N,0,0,1.0,17.0,4.3,0,1,1,0,0,12.0,237.8392,0,0
561,1136,1,1,1,172,1,1120,0,3,3.0,1,2.0,81.0,1.0,,,,,1.0,M,0,15.0,15.0,0,4153.0,2649.0,4153.0,2649.0,1840.0,192.0,0.0,12.0,2.0,1,27.0,2,2,0,26.3,37.45,2,360.0,,192.0,2,1,0,N,0,0,1.0,165.0,3.1,0,0,1,1,0,17.0,219.6162,0,0
